id,lat,lng
10,37.53200123,126.866167
9,37.53166716,126.8655005
8,37.53166569,126.8666658
7,37.5323336,126.8676658
6,37.52683448,126.8341662
5,37.52999885,126.8324991
4,37.5293333,126.8789987
3,37.53066587,126.8343344
2,37.53100052,126.8325
1,37.53350045,126.830999
